hextimestamp,temp,light,sound,pressure,humidity
0x56b28adc,28.50,21,386,100.97,565
0x56b28ae3,28.56,22,371,100.99,564
0x56b28ae9,28.50,21,377,100.97,562
0x56b28af0,28.50,20,379,100.97,562
0x56b28af6,28.50,20,375,100.96,561
0x56b28afd,28.56,21,373,100.97,557
0x56b28b04,28.63,21,396,100.97,557
0x56b28b0a,28.63,21,365,100.97,559
0x56b28b11,28.63,20,389,100.97,558
0x56b28b17,28.63,20,385,100.97,552
0x56b28b1e,28.69,20,372,100.97,550
0x56b28b25,28.69,21,390,100.97,552
0x56b28b2b,28.69,21,382,100.98,555
0x56b28b32,28.63,21,369,100.97,554
0x56b28b38,28.69,21,375,100.97,561
0x56b28b3f,28.69,20,393,100.97,560
0x56b28b45,28.63,21,379,100.97,556
0x56b28b4c,28.69,21,376,100.97,559
0x56b28b53,28.63,21,385,100.96,559
0x56b28b59,28.63,21,369,100.97,554
0x56b28b60,28.63,22,385,100.97,555
0x56b28b66,28.63,21,368,100.98,559
0x56b28b6d,28.69,21,374,100.98,560
0x56b28b74,28.63,21,364,100.98,556
0x56b28b7a,28.63,21,388,100.97,552
0x56b28b81,28.63,21,373,100.98,553
0x56b28b87,28.63,21,387,100.97,556
0x56b28b8e,28.69,20,398,100.98,556
0x56b28b94,28.63,20,387,100.98,558
0x56b28b9b,28.63,20,384,100.97,558
0x56b28ba1,28.63,17,378,100.97,564
0x56b28ba8,28.69,21,367,100.98,558
0x56b28baf,28.69,21,363,100.98,558
0x56b28bb5,28.63,21,369,100.98,553
0x56b28bbc,28.63,21,393,100.98,557
0x56b28bc3,28.69,21,384,100.97,560
0x56b28bc9,28.63,21,381,100.97,556
0x56b28bd0,28.69,21,373,100.97,556
0x56b28bd6,28.69,20,387,100.98,560
0x56b28bdd,28.69,21,391,100.97,559
0x56b28be4,28.69,19,373,100.98,558
0x56b28bea,28.69,19,403,100.98,558
0x56b28bf1,28.69,19,384,100.97,555
0x56b28bf8,28.75,19,427,100.98,562
0x56b28bff,28.75,19,386,100.98,557
0x56b28c08,28.75,20,379,100.98,556
0x56b28c0f,28.69,21,375,100.98,555
0x56b28c15,28.75,21,371,100.98,556
0x56b28c1d,28.69,21,423,100.98,558
0x56b28c23,28.69,20,382,100.98,558
0x56b28c2a,28.69,21,433,100.98,553
0x56b28c31,28.69,20,397,100.98,552
0x56b28c3b,28.69,21,361,100.98,549
0x56b28c41,28.69,20,374,100.98,552
0x56b28c48,28.69,21,381,100.98,547
0x56b28c4e,28.69,21,375,100.98,547
0x56b28c55,28.69,21,371,100.98,553
0x56b28c5c,28.69,20,383,100.98,551
0x56b28c62,28.69,22,373,100.99,550
0x56b28c69,28.69,21,428,100.99,551
0x56b28c6f,28.69,21,402,100.99,554
0x56b28c76,28.69,21,394,100.99,554
0x56b28c7d,28.69,22,388,100.98,555
0x56b28c84,28.69,22,439,100.99,550
0x56b28c8a,28.69,21,382,100.98,550
0x56b28c91,28.69,22,401,100.98,552
0x56b28c98,28.63,22,392,100.98,555
0x56b28c9e,28.69,21,419,100.98,553
0x56b28ca5,28.69,21,437,100.97,548
0x56b28cab,28.75,22,399,100.97,549
0x56b28cb2,28.75,22,394,100.98,550
0x56b28cb8,28.75,22,374,100.98,550
0x56b28cbf,28.81,21,365,100.98,553
0x56b28cc6,28.81,21,383,100.98,521
0x56b290c2,28.81,26,366,100.98,531
0x56e4d1bf,27.00,46,349,101.75,429
0x56e4d1c1,27.38,44,343,101.76,426
