hextimestamp,temp,light,sound,pressure,humidity
0x56b28b02,29.00,133,385,100.97,549
0x56b28b09,29.00,133,423,100.97,548
0x56b28b0f,29.00,132,449,100.98,546
0x56b28b16,28.94,131,439,100.96,545
0x56b28b1c,29.00,131,405,100.98,549
0x56b28b23,29.06,132,506,100.98,544
0x56b28b29,29.00,133,553,100.97,551
0x56b28b30,29.13,133,368,100.99,550
0x56b28b37,29.00,132,449,100.97,553
0x56b28b3d,29.00,133,434,100.97,550
0x56b28b44,29.06,131,429,100.98,551
0x56b28b4a,29.00,133,421,100.97,547
0x56b28b51,29.00,133,434,100.97,553
0x56b28b58,29.06,133,376,100.97,546
0x56b28b5e,29.06,132,488,100.97,546
0x56b28b65,29.06,133,514,100.97,545
0x56b28b6b,29.13,133,452,100.98,545
0x56b28b72,29.13,133,379,100.98,547
0x56b28b79,29.00,132,395,100.96,547
0x56b28b7f,29.13,133,380,100.97,547
0x56b28b86,29.13,132,463,100.97,546
0x56b28b8c,29.13,133,507,100.96,544
0x56b28b93,29.19,132,402,100.98,544
0x56b28b99,29.19,132,489,100.97,546
0x56b28ba0,29.19,133,401,100.98,543
0x56b28ba6,29.25,132,366,100.98,541
0x56b28bad,29.13,132,444,100.97,541
0x56b28bb4,29.13,132,375,100.96,540
0x56b28bba,29.19,132,426,100.98,545
0x56b28bc1,29.19,132,384,100.97,538
0x56b28bc8,29.19,132,405,100.98,545
0x56b28bce,29.13,131,365,100.97,545
0x56b28bd5,29.13,132,364,100.98,545
0x56b28bdc,29.06,132,363,100.97,544
0x56b28be2,29.06,131,447,100.97,544
0x56b28be9,29.06,132,380,100.98,547
0x56b28bef,29.06,132,386,100.98,547
0x56b28bf6,29.06,132,374,100.96,546
0x56b28bfd,29.13,132,375,100.98,541
0x56b28c07,29.00,132,384,100.96,540
0x56b28c0d,29.06,132,367,100.98,540
0x56b28c14,29.06,132,380,100.97,544
0x56b28c1b,29.13,133,380,100.99,541
0x56b28c22,29.13,133,377,100.99,547
0x56b28c28,29.13,132,400,100.99,571
0x56b28c2f,29.06,132,475,100.97,542
0x56b28c38,29.13,132,382,100.97,544
0x56b28c40,29.06,131,386,100.96,541
0x56b28c46,29.19,132,370,100.99,545
0x56b28c4d,29.19,131,433,100.98,552
0x56b28c53,29.25,131,382,100.99,559
0x56b28c5a,29.19,132,393,100.97,559
0x56b28c61,29.25,131,423,100.99,549
0x56b28c67,29.19,131,379,100.98,545
0x56b28c6e,29.25,130,387,101.00,544
0x56b28c74,29.19,132,381,100.98,545
0x56b28c7b,29.19,132,386,100.99,543
0x56b28c82,29.25,132,490,101.00,542
0x56b28c89,29.25,131,378,100.99,540
0x56b28c8f,29.13,131,377,100.97,540
0x56b28c96,29.25,131,354,100.98,544
0x56b28c9d,29.19,131,416,100.97,536
0x56b28ca3,29.25,132,485,100.98,537
0x56b28caa,29.25,131,466,100.99,534
0x56b28cb0,29.19,131,399,100.98,539
0x56b28cb7,29.13,131,428,100.97,536
0x56b28cbd,29.19,131,361,100.99,541
0x56b28cc4,29.25,131,376,100.99,538
0x56b290cd,29.00,131,359,100.95,551
0x56b3e11d,27.06,121,515,101.54,611
0x56b3e11f,26.94,120,537,101.55,610
0x56b3e121,27.00,120,514,101.55,609
0x56b3e123,26.94,122,511,101.54,611
0x56b3e125,26.94,121,493,101.54,610
0x56b3e127,27.00,121,526,101.56,607
0x56b3e128,26.94,122,461,101.54,612
0x56b3e12a,26.94,120,504,101.55,611
0x56b3e12c,27.00,121,509,101.56,608
0x56b3e12e,26.94,121,514,101.55,610
0x56b3e130,26.94,121,515,101.54,607
0x56b3e132,26.94,121,509,101.55,612
0x56b3e134,27.00,121,512,101.55,607
0x56b3e136,27.00,121,510,101.55,611
0x56b3e137,27.00,123,512,101.54,609
0x56b3e139,27.00,121,510,101.54,610
0x56b3e13b,27.00,121,528,101.55,610
0x56b3e13d,27.00,121,518,101.54,608
0x56b3e13f,27.00,121,509,101.55,609
0x56b3e141,26.94,122,452,101.54,608
0x56b3e143,26.94,121,506,101.54,610
0x56b3e145,27.00,119,507,101.54,611
0x56b3e147,27.00,121,504,101.54,608
0x56b3e149,27.00,122,509,101.55,612
0x56b3e14a,27.00,122,474,101.55,610
0x56b3e14c,27.06,119,511,101.56,607
0x56b3e14e,27.00,122,505,101.54,611
0x56b3e150,27.06,122,504,101.55,611
0x56b3e152,27.00,121,514,101.54,608
0x56b3e154,27.06,122,520,101.55,611
0x56b3f455,27.94,121,504,101.58,579
0x56b3f457,27.94,119,504,101.57,578
0x56b3f459,27.94,120,504,101.56,582
0x56b3f45b,28.00,115,493,101.57,580
0x56b3f45d,27.94,116,511,101.56,583
0x56b3f45f,28.00,99,471,101.56,579
0x56b3f460,28.00,99,510,101.57,577
0x56b3f462,28.06,72,575,101.57,578
0x56b3f464,28.06,64,543,101.58,586
0x56b3f466,28.00,68,510,101.56,590
0x56b3f468,28.00,70,514,101.55,592
0x56b3f46a,28.00,69,516,101.56,590
0x56b3f46b,28.00,80,492,101.55,587
0x56b3f46d,28.00,87,518,101.55,587
0x56b3f46f,28.06,113,451,101.57,58
0x56b3f471,28.06,115,527,101.57,578
0x56b3f473,28.06,117,485,101.57,580
0x56b3f475,28.06,117,447,101.57,579
0x56b3f476,28.00,118,508,101.56,575
0x56b3f478,28.06,118,504,101.57,576
0x56b3f47a,28.13,118,510,101.58,575
0x56b3f47c,28.13,115,412,101.58,574
0x56b3f47e,28.06,118,506,101.56,579
0x56b3f480,28.13,119,513,101.57,579
0x56b3f482,28.13,117,369,101.56,574
0x56b3f483,28.06,118,511,101.56,575
0x56b3f485,28.06,119,430,101.56,578
0x56b3f487,28.13,120,445,101.57,576
0x56b3f489,28.13,121,515,101.56,574
0x56b3f48b,28.19,121,478,101.56,573
0x56b3f48d,28.13,120,472,101.55,571
0x56b3f48e,28.19,119,515,101.56,572
0x56b3f490,28.25,120,520,101.57,573
0x56b3f492,28.19,120,512,101.57,573
0x56b3f494,28.25,119,505,101.58,578
0x56b3f496,28.19,119,530,101.56,573
0x56b3f498,28.25,120,509,101.58,575
0x56b3f499,28.19,118,439,101.56,575
0x56b3f49b,28.19,118,397,101.56,576
0x56b3f49d,28.31,121,498,101.58,573
0x56b3f49f,28.19,118,419,101.56,576
0x56b3f4a1,28.19,120,513,101.55,576
0x56b3f4a2,28.19,120,515,101.56,574
0x56b3f4a4,28.25,121,502,101.57,575
0x56b3f4a6,28.19,121,506,101.56,576
0x56b3f4a8,28.13,121,446,101.55,575
0x56b3f4aa,28.19,121,516,101.56,576
0x56b3f4ab,28.19,120,509,101.56,573
0x56b3f4ae,28.19,119,509,101.57,573
0x56b3f4af,28.19,120,426,101.56,572
0x56b40d00,25.88,192,425,101.50,5
0x56b40d02,25.81,192,365,101.48,571
0x56b40d04,25.88,191,356,101.48,568
0x56b40d06,25.94,191,361,101.50,570
0x56b40d08,25.88,192,363,101.48,568
0x56b40d0a,25.88,191,372,101.48,570
0x56b40d0c,25.94,192,423,101.49,566
0x56b40d0e,26.00,192,379,101.50,571
0x56b40d10,26.00,192,414,101.48,571
0x56b40d12,26.06,191,447,101.50,557
0x56b40d15,26.00,191,407,101.49,567
0x56b40d18,26.00,192,403,101.48,568
0x56b40d1a,26.06,193,380,101.48,573
0x56b40d1c,26.06,192,433,101.48,566
0x56b40d1e,26.06,192,406,101.48,569
0x56b40d1f,26.06,192,408,101.48,568
0x56b40d21,26.13,191,421,101.49,570
0x56b40d23,26.13,192,399,101.49,565
0x56b40d25,26.19,191,510,101.50,567
0x56b40d27,26.13,192,435,101.49,565
0x56b40d28,26.19,193,515,101.49,565
0x56b40d2a,26.19,192,446,101.49,568
0x56b40d2c,26.19,193,404,101.48,563
0x56b40d2e,26.19,193,405,101.48,568
0x56b40d30,26.25,194,498,101.49,563
0x56b40d32,26.25,193,424,101.49,567
0x56b40d33,26.25,194,469,101.49,564
0x56b40d35,26.25,193,457,101.48,564
0x56b40d37,26.25,194,388,101.48,567
0x56b40d39,26.31,192,500,101.48,565
0x56b40d3b,26.31,193,467,101.49,565
0x56b40d3d,26.31,193,482,101.48,568
0x56b40d3e,26.38,192,473,101.51,568
0x56b40d40,26.31,193,489,101.48,563
0x56b40d42,26.31,193,536,101.48,565
0x56b40d44,26.31,193,416,101.49,566
0x56b40d46,26.38,194,424,101.49,566
0x56b40d48,26.38,193,444,101.49,567
0x56b40d49,26.38,195,437,101.49,566
0x56b40d4b,26.38,193,484,101.49,567
0x56b40d4d,26.38,195,405,101.49,565
0x56b40d4f,26.38,193,411,101.49,565
0x56b40d51,26.38,195,470,101.49,568
0x56b40d52,26.38,194,448,101.49,567
0x56b40d54,26.38,193,502,101.48,566
0x56b40d56,26.44,195,414,101.50,566
0x56b40d58,26.44,194,412,101.49,569
0x56b40d5a,26.44,195,374,101.49,568
0x56b40d5b,26.44,193,464,101.49,566
0x56b40d5d,26.44,195,438,101.49,567
0x56b40d5f,26.44,195,359,101.49,569
0x56b40d61,26.50,194,464,101.49,565
0x56b40da8,26.69,193,455,101.49,559
0x56b40daa,26.88,193,505,101.50,562
0x56b40dac,26.88,195,467,101.49,559
0x56b40dae,26.88,195,406,101.49,560
0x56b40daf,26.88,195,446,101.48,565
0x56b40db1,26.94,194,393,101.49,562
0x56b40db3,26.94,196,413,101.48,564
0x56b40db5,26.94,195,486,101.50,565
0x56b40db7,26.94,197,452,101.49,561
0x56b40db9,26.94,196,414,101.50,566
0x56b40dba,26.94,197,390,101.49,566
0x56b40dbc,26.94,196,423,101.48,565
0x56b40dbe,26.94,197,404,101.49,564
0x56b40dc0,26.94,195,485,101.49,563
0x56b40dc2,27.00,196,505,101.49,566
0x56b40dc4,26.94,196,390,101.48,561
0x56b40dc6,27.00,197,431,101.49,565
0x56b40dc7,27.00,198,499,101.49,550
0x56b40dc9,27.00,196,423,101.49,566
0x56b40dcb,27.00,197,378,101.49,561
0x56b40dcd,27.06,197,448,101.49,561
0x56b40dcf,27.06,196,510,101.49,564
0x56b40dd1,27.06,197,396,101.49,562
0x56b40dd3,27.06,196,410,101.49,565
0x56b40dd4,27.06,197,436,101.49,561
0x56b40dd6,27.06,197,451,101.49,565
0x56b40dd8,27.06,196,453,101.49,562
0x56b40dda,27.13,198,555,101.50,564
0x56b40ddc,27.06,196,503,101.49,565
0x56b40dde,27.06,199,512,101.49,564
0x56b40de0,27.13,198,523,101.49,566
0x56b40de1,27.06,199,501,101.48,562
0x56b40de3,27.13,199,378,101.49,564
0x56b40de5,27.13,199,368,101.49,562
0x56b40de7,27.13,197,513,101.48,565
0x56b40de9,27.13,197,492,101.48,564
0x56b40deb,27.19,198,493,101.49,562
0x56b40ded,27.19,197,408,101.48,561
0x56b40dee,27.19,198,516,101.49,563
0x56b40df0,27.19,198,498,101.49,561
0x56b40df2,27.19,198,520,101.48,560
0x56b40df4,27.19,197,506,101.48,562
0x56b40df6,27.25,198,529,101.49,561
