hextimestamp,temp,light,sound,pressure,humidity
0x56b28bee,28.69,5,490,101.05,655
0x56b28bf5,28.75,6,455,101.06,650
0x56b28bfb,28.69,5,487,101.05,651
0x56b28c05,28.69,6,428,101.05,653
0x56b28c0b,28.69,6,417,101.05,654
0x56b28c12,28.75,6,488,101.05,656
0x56b28c19,28.75,6,475,101.05,648
0x56b28c20,28.69,6,437,101.05,653
0x56b28c27,28.69,5,433,101.05,651
0x56b28c2e,28.63,5,432,101.05,655
0x56b28c35,28.63,6,417,101.05,698
0x56b28c3e,28.69,5,450,101.05,650
0x56b28c45,28.69,6,434,101.05,653
0x56b28c4b,28.69,5,421,101.05,651
0x56b28c52,28.75,6,429,101.05,651
0x56b28c58,28.69,6,416,101.05,650
0x56b28c5f,28.75,6,463,101.06,652
0x56b28c65,28.63,5,448,101.06,649
0x56b28c6c,28.69,6,427,101.07,647
0x56b28c73,28.63,3,426,101.07,637
0x56b28c79,28.69,6,446,101.07,652
0x56b28c80,28.63,6,569,101.06,648
0x56b28c87,28.69,7,471,101.06,651
0x56b28c8e,28.63,7,414,101.06,649
0x56b28c94,28.56,6,488,101.05,653
0x56b28c9b,28.63,6,498,101.05,650
0x56b28ca1,28.56,5,476,101.06,654
0x56b28ca8,28.63,6,597,101.05,651
0x56b28caf,28.63,5,455,101.05,652
0x56b28cb5,28.69,6,505,101.06,649
0x56b28cbc,28.63,6,428,101.05,650
0x56b28cc2,28.69,5,444,101.05,651
0x56b290cb,28.69,98,418,101.05,61
