hextimestamp,temp,light,sound,pressure,humidity
0x56ac9e17,28.69,88,349,100.14,539
0x56ac9e19,28.63,86,354,100.14,535
0x56ac9e1b,28.63,93,372,100.13,538
0x56ac9e1c,28.69,87,363,100.14,537
0x56ac9e1e,28.69,88,364,100.14,539
0x56ac9e20,28.69,87,361,100.14,540
0x56ac9e21,28.69,89,461,100.14,537
0x56ac9e23,28.69,87,437,100.15,536
0x56ac9e25,28.69,92,353,100.13,534
0x56ac9e26,28.75,89,365,100.16,537
0x56ac9e28,28.69,86,349,100.14,535
0x56ac9e29,28.63,91,341,100.13,537
0x56ac9e2b,28.63,88,343,100.13,539
0x56ac9e2d,28.63,91,349,100.13,534
0x56ac9e2e,28.63,88,349,100.13,540
0x56ac9e30,28.63,85,353,100.13,539
0x56ac9e32,28.69,92,343,100.14,536
0x56ac9e33,28.69,89,350,100.14,536
0x56ac9e35,28.63,92,346,100.13,537
0x56ac9e37,28.63,92,356,100.13,538
0x56ac9e38,28.69,85,347,100.13,536
0x56ac9e3a,28.75,88,360,100.15,535
0x56ac9e3b,28.75,86,361,100.15,536
0x56ac9e3d,28.63,88,351,100.13,537
0x56ac9e3f,28.69,86,351,100.14,536
0x56ac9e40,28.75,92,348,100.15,538
0x56ac9e42,28.50,84,344,100.10,539
0x56ac9e44,28.69,85,348,100.14,538
0x56ac9e45,28.81,86,359,100.16,503
0x56ac9e47,28.75,85,348,100.16,535
0x56ac9e49,28.69,85,398,100.13,534
0x56ac9e4a,28.63,91,338,100.13,533
0x56ac9e4c,28.94,90,357,100.19,536
0x56ac9e4e,28.88,92,345,100.17,537
0x56ac9e4f,28.44,92,398,100.09,537
0x56ac9e51,28.75,89,373,100.14,538
0x56ac9e52,28.75,91,347,100.14,535
0x56ac9e54,28.81,86,347,100.14,536
0x56ac9e56,28.75,85,344,100.13,538
0x56ac9e57,28.88,87,343,100.16,540
0x56ac9e59,28.75,91,339,100.14,536
0x56ac9e5b,28.75,91,371,100.14,538
0x56ac9e5c,28.69,85,346,100.12,537
0x56ac9e5e,28.88,85,352,100.16,540
0x56ac9e60,28.75,93,350,100.13,535
0x56ac9e61,28.88,89,340,100.15,534
